precinct,Latitude,Longitude,population
1,40.71257748983047,-74.00930744818399,66679
5,40.71588182613064,-73.9978855522613,52568
6,40.73369032087382,-74.0028751907767,62226
7,40.71558922241378,-73.98498879367817,56355
9,40.72615265918368,-73.9841562666666,76443
10,40.75123186666664,-74.00064778571428,50180
13,40.737833623857874,-73.9836402761421,93640
14,40.75171821932772,-73.9863890344538,20651
17,40.75109448802396,-73.97100450958082,79126
18,40.76256781043956,-73.9837449895604,54066
19,40.77260805757576,-73.95680372030293,208259
20,40.77980067260274,-73.98159936164386,102624
22,40.78108059807692,-73.96712622692309,25
23,40.79120466962963,-73.9448632451852,73106
24,40.79582710569621,-73.97005419810127,106460
25,40.8034512380645,-73.93535133419353,47405
26,40.812569938596454,-73.95939878157897,49508
28,40.80444474019609,-73.95189783431374,44781
30,40.82579768108107,-73.94947283423421,60685
32,40.81964924444444,-73.94133950238098,70942
33,40.84186778786129,-73.94023871618501,77645
34,40.85956324377883,-73.92764140829489,112375
40,40.81186088914729,-73.91652095710596,91497
41,40.816385251943466,-73.89063789434628,52246
42,40.83158416902984,-73.89932369179101,79762
43,40.826144428643204,-73.86159587973195,172122
44,40.83487178866857,-73.92029052747876,146441
45,40.83812707609859,-73.82073679946411,120833
46,40.85211918690475,-73.90900172222223,128200
47,40.88612937680959,-73.84921111836474,152374
48,40.84863588881989,-73.88787429161496,83266
49,40.856677458188166,-73.8552993576655,114712
50,40.88958181743342,-73.90466286997582,101720
52,40.86967647000001,-73.88807028172408,139307
60,40.58057492839505,-73.97977799530872,104278
61,40.59367302725089,-73.94858990768304,159645
62,40.60768341465968,-73.99351511623034,181981
63,40.619427858957586,-73.92424252198694,108646
66,40.632248310166375,-73.98433953475039,191382
67,40.64830498759399,-73.93371080131583,155252
68,40.62485322789473,-74.02353636719293,124491
69,40.6390231234568,-73.90118177209877,84480
70,40.631468616777,-73.95943076622518,160664
71,40.663193247342996,-73.94784906859903,98429
72,40.6517336727711,-74.00061301277108,126230
73,40.668454465030685,-73.91107022914113,86468
75,40.66989566984867,-73.88104544039575,183328
76,40.67975143807947,-74.00171729966888,43694
77,40.67457953696681,-73.94734778436018,96309
78,40.672062550222236,-73.98116871066668,61099
79,40.68869692487805,-73.94957060390243,90263
81,40.685816059887,-73.92883128135591,62722
83,40.69575650268658,-73.91842045611939,112634
84,40.69590987647061,-73.98891615986162,48196
88,40.69246895729928,-73.97139118649639,51421
90,40.708187450704216,-73.94946275311865,116836
94,40.72349859928232,-73.94885262009572,56247
100,40.57927079834091,-73.85022503272991,47913
101,40.59987628938993,-73.76119091724141,67065
102,40.69430606304046,-73.84084882105999,144008
103,40.703108155322354,-73.78740352758633,105803
104,40.71345103651105,-73.89161074918964,170190
105,40.69897187632918,-73.73704229790384,188582
106,40.67092128756641,-73.8314465217853,122441
107,40.72463296219117,-73.79906270279267,151107
108,40.74187622411432,-73.92197360319997,113200
109,40.77197327975965,-73.8157649145478,247354
110,40.74374673031607,-73.86210919324719,172634
111,40.757512529509455,-73.76335238558491,116431
112,40.722420485009465,-73.85052645787472,112277
113,40.68211779521659,-73.77573510306843,120132
114,40.76624323840578,-73.9184681839372,202766
115,40.75857894107489,-73.87739503627644,171576
120,40.624356583143935,-74.11487809665407,175876
122,40.58088315534328,-74.12550462369263,194822
123,40.5336846343518,-74.1996186500413,98032
