"precinct","POPULATION"
1,66679
5,52568
6,62226
7,56355
9,76443
10,50180
13,93640
14,20651
17,79126
18,54066
19,208259
20,102624
22,25
23,73106
24,106460
25,47405
26,49508
28,44781
30,60685
32,70942
33,77645
34,112375
40,91497
41,52246
42,79762
43,172122
44,146441
45,120833
46,128200
47,152374
48,83266
49,114712
50,101720
52,139307
60,104278
61,159645
62,181981
63,108646
66,191382
67,155252
68,124491
69,84480
70,160664
71,98429
72,126230
73,86468
75,183328
76,43694
77,96309
78,61099
79,90263
81,62722
83,112634
84,48196
88,51421
90,116836
94,56247
100,47913
101,67065
102,144008
103,105803
104,170190
105,188582
106,122441
107,151107
108,113200
109,247354
110,172634
111,116431
112,112277
113,120132
114,202766
115,171576
120,175876
122,194822
123,98032
NA,0
